regime,pkg,rep,h,est,se
varmiss,jwdid_uc,11,1,2.495031419962887,.0914768760416206
varmiss,jwdid_uc,11,2,3.171024078962174,.0824815427725418
varmiss,bjs,11,0,1.874306904022887,.0714567030425515
varmiss,bjs,11,1,2.501577625414939,.0819467371430248
varmiss,bjs,11,2,3.167281759631805,.0762060043575834
varmiss,bjs_wtr,11,0,2.064472310268684,.0733791621009124
varmiss,bjs_wtr,11,1,2.473594442697504,.0827498909738772
varmiss,bjs_wtr,11,2,2.998859359120615,.0780914660054393
varmiss,dcdh,11,0,1.873542872833315,.0951238565848636
varmiss,dcdh,11,1,2.148697273081259,.1292156872065918
varmiss,dcdh,11,2,2.863205796836673,.1200948594628357
varmiss,lpdid,11,0,1.747852366653316,.099830899737625
varmiss,lpdid,11,1,2.093198996154328,.1401686563275831
varmiss,lpdid,11,2,2.880880786131771,.1341775445308999
varmiss,lpdid_rw,11,0,1.873543145150532,.1020891303717485
varmiss,lpdid_rw,11,1,2.245337345586685,.1432781494205124
varmiss,lpdid_rw,11,2,2.753775576479685,.1355462910560039
varmiss,sa,11,0,1.908401178853646,.0878612754875043
varmiss,sa,11,1,2.522685250231203,.0976875620137002
varmiss,sa,11,2,3.189083941088088,.0968903677923262
varmiss,csdid,12,0,1.818881177687897,.1053424541097771
varmiss,csdid,12,1,2.535245468586065,.1101143317094898
varmiss,csdid,12,2,3.034005361259521,.1057726114029563
varmiss,jwdid,12,0,1.802826852472339,.0716754615983724
varmiss,jwdid,12,1,2.640836728209975,.0789195306577034
varmiss,jwdid,12,2,3.282287376269803,.0777400799629775
varmiss,jwdid_uc,12,0,1.802826852472352,.0825722836280286
