round,arm,cell,nunits,seconds
1,base,panel_reg_analytic,40000,0.421
1,base,panel_dr_cov,40000,0.829
1,base,panel_reg_cluster,40000,0.466
1,base,rcs_reg,40000,1.357
1,base,unbal_reg_none,40000,0.426
1,base,panel_reg_wboot,40000,0.55
1,base,agg_dynamic,40000,0.0799
1,base,agg_group,40000,0.0228
1,head,panel_reg_analytic,5000,0.069
1,head,panel_dr_cov,5000,0.172
1,head,panel_reg_cluster,5000,0.075
1,head,rcs_reg,5000,0.204
1,head,unbal_reg_none,5000,0.069
1,head,panel_reg_wboot,5000,0.092
1,head,agg_dynamic,5000,0.0172
1,head,agg_group,5000,0.0055
1,head,agg_storeall,5000,0.1004
1,head,panel_reg_analytic,40000,0.42
1,head,panel_dr_cov,40000,0.835
1,head,panel_reg_cluster,40000,0.467
1,head,rcs_reg,40000,1.22
1,head,unbal_reg_none,40000,0.423
1,head,panel_reg_wboot,40000,0.544
1,head,agg_dynamic,40000,0.0745
1,head,agg_group,40000,0.0215
2,s6,panel_reg_analytic,5000,0.069
2,s6,panel_dr_cov,5000,0.172
2,s6,panel_reg_cluster,5000,0.076
2,s6,rcs_reg,5000,0.204
2,s6,unbal_reg_none,5000,0.069
2,s6,panel_reg_wboot,5000,0.093
2,s6,agg_dynamic,5000,0.0166
2,s6,agg_group,5000,0.0056
2,s6,agg_storeall,5000,0.1006
2,s6,panel_reg_analytic,40000,0.416
2,s6,panel_dr_cov,40000,0.817
2,s6,panel_reg_cluster,40000,0.473
2,s6,rcs_reg,40000,1.198
2,s6,unbal_reg_none,40000,0.412
2,s6,panel_reg_wboot,40000,0.5449999999999999
2,s6,agg_dynamic,40000,0.0737
2,s6,agg_group,40000,0.0214
2,head,panel_reg_analytic,5000,0.07
2,head,panel_dr_cov,5000,0.172
2,head,panel_reg_cluster,5000,0.075
2,head,rcs_reg,5000,0.206
2,head,unbal_reg_none,5000,0.07
2,head,panel_reg_wboot,5000,0.092
2,head,agg_dynamic,5000,0.0165
2,head,agg_group,5000,0.0056
2,head,agg_storeall,5000,0.1006
2,head,panel_reg_analytic,40000,0.42
2,head,panel_dr_cov,40000,0.8329999999999999
2,head,panel_reg_cluster,40000,0.4689999999999999
2,head,rcs_reg,40000,1.255
2,head,unbal_reg_none,40000,0.413
2,head,panel_reg_wboot,40000,0.552
2,head,agg_dynamic,40000,0.0775
2,head,agg_group,40000,0.0227
2,base,panel_reg_analytic,5000,0.069
2,base,panel_dr_cov,5000,0.172
2,base,panel_reg_cluster,5000,0.075
2,base,rcs_reg,5000,0.221
2,base,unbal_reg_none,5000,0.07
2,base,panel_reg_wboot,5000,0.093
2,base,agg_dynamic,5000,0.0168
2,base,agg_group,5000,0.0057
2,base,agg_storeall,5000,0.1006
2,base,panel_reg_analytic,40000,0.423
2,base,panel_dr_cov,40000,0.832
2,base,panel_reg_cluster,40000,0.47
2,base,rcs_reg,40000,1.371
2,base,unbal_reg_none,40000,0.418
2,base,panel_reg_wboot,40000,0.5509999999999999
2,base,agg_dynamic,40000,0.079
2,base,agg_group,40000,0.0233
3,head,panel_reg_analytic,5000,0.069
3,head,panel_dr_cov,5000,0.173
3,head,panel_reg_cluster,5000,0.075
3,head,rcs_reg,5000,0.206
3,head,unbal_reg_none,5000,0.069
3,head,panel_reg_wboot,5000,0.092
3,head,agg_dynamic,5000,0.0166
3,head,agg_group,5000,0.0057
3,head,agg_storeall,5000,0.1006
3,head,panel_reg_analytic,40000,0.42
3,head,panel_dr_cov,40000,0.8340000000000001
3,head,panel_reg_cluster,40000,0.47
