design,campaign,tree,cell,seconds
scale-400k,r10,head,panel_reg_analytic,.42
scale-400k,r10,head,panel_dr_cov,.8280000000000001
scale-400k,r10,head,panel_reg_cluster,.472
scale-400k,r10,head,rcs_reg,1.199
scale-400k,r10,head,unbal_reg_none,.415
scale-400k,r10,head,panel_reg_wboot,.5440000000000002
cell-design,r10,head,fast,.611
cell-design,r10,head,preg,1.038
cell-design,r10,head,pdr,1.924
cell-design,r10,head,unbal,1.001
cell-design,r10,head,rcs,1.901
inproc-50,r10,head,reg,.5529999999999999
inproc-50,r10,head,dr,1.713
scale-400k,r10,base,panel_reg_analytic,.419
scale-400k,r10,base,panel_dr_cov,.8320000000000001
scale-400k,r10,base,panel_reg_cluster,.475
scale-400k,r10,base,rcs_reg,1.344
scale-400k,r10,base,unbal_reg_none,.414
scale-400k,r10,base,panel_reg_wboot,.551
cell-design,r10,base,fast,.627
cell-design,r10,base,preg,1.054
cell-design,r10,base,pdr,1.945
cell-design,r10,base,unbal,1.014
cell-design,r10,base,rcs,1.95
inproc-50,r10,base,reg,.544
inproc-50,r10,base,dr,1.714
scale-400k,r10,s2,panel_reg_analytic,.425
scale-400k,r10,s2,panel_dr_cov,.8419999999999999
scale-400k,r10,s2,panel_reg_cluster,.4699999999999999
scale-400k,r10,s2,rcs_reg,1.199
scale-400k,r10,s2,unbal_reg_none,.416
scale-400k,r10,s2,panel_reg_wboot,.552
cell-design,r10,s2,fast,.626
cell-design,r10,s2,preg,1.053
cell-design,r10,s2,pdr,1.945
cell-design,r10,s2,unbal,1.009
cell-design,r10,s2,rcs,1.887
inproc-50,r10,s2,reg,.5610000000000001
inproc-50,r10,s2,dr,1.723
scale-400k,r11,base,panel_reg_analytic,.418
scale-400k,r11,base,panel_dr_cov,.8329999999999999
scale-400k,r11,base,panel_reg_cluster,.4689999999999999
scale-400k,r11,base,rcs_reg,1.368
scale-400k,r11,base,unbal_reg_none,.418
scale-400k,r11,base,panel_reg_wboot,.554
cell-design,r11,base,fast,.617
cell-design,r11,base,preg,1.066
