round,benchmark,stata_seconds,r_seconds,stata_over_r,max_stata_over_r
4,medium_panel_clustered_reg,0.084,0.055,1.52727,1.8
4,medium_panel_covariate_dr,0.105,0.07,1.5,1.8
4,medium_panel_fast_lean,0.055,0.033,1.66667,1.8
4,medium_panel_performance_auto,0.055,0.033,1.66667,1.8
4,medium_panel_weighted_ipw,0.0723333,0.0433333,1.66923,1.8
4,medium_unbalanced_bootstrap_cov_weight_dr,0.441,0.362,1.21823,3
4,medium_unbalanced_cov_weight_dr,0.345,0.153,2.2549,3
4,plot_attgt_medium,0.0018,0.0299,0.0602007,1.8
4,plot_calendar_medium,0.0006,0.02345,0.0255864,1.8
4,plot_dynamic_medium,0.00065,0.0232,0.0280172,1.8
4,plot_group_medium,0.0006,0.0234,0.025641,1.8
4,small_smoke,0.003,0.026,0.115385,1.8
5,aggregation_bootstrap_dynamic_medium,0.053,0.032,1.65625,3
5,aggregation_calendar_medium,0.0018,0.00775,0.232258,1.8
5,aggregation_group_medium,0.00095,0.001,0.95,1.8
