scan,n_units,T,cohorts,rows,pkg,median_seconds,trials,ok,note
C_periods,10000,40,4,400000,eventstudyinteract,48.5070,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=46.7980; max=62.5710; never-treated control cohort (the command takes no not-yet-treated option); dummy build timed
C_periods,10000,40,4,400000,did_multiplegt_dyn,40.4325,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=39.2870; max=42.6130
C_periods,10000,40,4,400000,xthdid,.,0,-1,Stata 19.5 native; arm=ra; vce(cluster) as in every column; cohort derived by the command; not timed: single warmup call took 166.8s; past the 120s cap; H=5; G_real=4; nevertreated=19.8%; cov=none; min=.; max=.; Stata 19.5 native; arm=ra; vce(cluster) as in every column; cohort derived by the command; not timed: single warmup call took 166.8s; past the 120s cap
D_cohorts,10000,20,3,200000,csdid,0.2310,10,1,H=5; G_real=3; nevertreated=25%; cov=none; min=0.2230; max=0.3000; agg=0.0160
D_cohorts,10000,20,3,200000,jwdid,4.1045,10,1,H=5; G_real=3; nevertreated=25%; cov=none; min=3.7570; max=4.2420; agg=1.9485
D_cohorts,10000,20,3,200000,did_imputation,13.5725,10,1,H=5; G_real=3; nevertreated=25%; cov=none; min=12.1520; max=20.1050; ; N=147527; autosample requested; nothing dropped
D_cohorts,10000,20,3,200000,lpdid,2.0835,10,1,H=5; G_real=3; nevertreated=25%; cov=none; min=2.0080; max=2.2480
D_cohorts,10000,20,3,200000,eventstudyinteract,5.1550,10,1,H=5; G_real=3; nevertreated=25%; cov=none; min=4.4870; max=6.1820; never-treated control cohort (the command takes no not-yet-treated option); dummy build timed
D_cohorts,10000,20,3,200000,did_multiplegt_dyn,11.7960,10,1,H=5; G_real=3; nevertreated=25%; cov=none; min=11.0610; max=12.9980
D_cohorts,10000,20,3,200000,xthdid,18.3710,10,1,H=5; G_real=3; nevertreated=25%; cov=none; min=17.2390; max=22.4330; agg=0.0560; Stata 19.5 native; arm=ra; vce(cluster) as in every column; cohort derived by the command
D_cohorts,10000,20,6,200000,csdid,0.3285,10,1,H=5; G_real=6; nevertreated=14.2%; cov=none; min=0.2860; max=0.3740; agg=0.0255
D_cohorts,10000,20,6,200000,jwdid,8.9585,10,1,H=5; G_real=6; nevertreated=14.2%; cov=none; min=8.6990; max=10.0410; agg=4.8250
D_cohorts,10000,20,6,200000,did_imputation,9.8225,10,1,H=5; G_real=6; nevertreated=14.2%; cov=none; min=8.8780; max=20.9270; ; N=152867; autosample requested; nothing dropped
D_cohorts,10000,20,6,200000,lpdid,1.9610,10,1,H=5; G_real=6; nevertreated=14.2%; cov=none; min=1.8560; max=2.1600
D_cohorts,10000,20,6,200000,eventstudyinteract,20.0330,10,1,H=5; G_real=6; nevertreated=14.2%; cov=none; min=17.6830; max=25.0410; never-treated control cohort (the command takes no not-yet-treated option); dummy build timed
D_cohorts,10000,20,6,200000,did_multiplegt_dyn,12.6060,10,1,H=5; G_real=6; nevertreated=14.2%; cov=none; min=11.6920; max=13.5700
D_cohorts,10000,20,6,200000,xthdid,42.2895,10,1,H=5; G_real=6; nevertreated=14.2%; cov=none; min=41.0850; max=46.0810; agg=0.1275; Stata 19.5 native; arm=ra; vce(cluster) as in every column; cohort derived by the command
D_cohorts,10000,20,12,200000,csdid,0.4960,10,1,H=5; G_real=12; nevertreated=7.4%; cov=none; min=0.4240; max=0.5760; agg=0.0580
D_cohorts,10000,20,12,200000,jwdid,12.5715,10,1,H=5; G_real=12; nevertreated=7.4%; cov=none; min=11.7320; max=13.4140; agg=5.7370
D_cohorts,10000,20,12,200000,did_imputation,7.4760,10,1,H=5; G_real=12; nevertreated=7.4%; cov=none; min=6.5140; max=11.7020; ; N=172333; autosample requested; nothing dropped
D_cohorts,10000,20,12,200000,lpdid,2.2780,10,1,H=5; G_real=12; nevertreated=7.4%; cov=none; min=2.1960; max=2.4920
D_cohorts,10000,20,12,200000,eventstudyinteract,77.3965,10,1,H=5; G_real=12; nevertreated=7.4%; cov=none; min=73.0640; max=87.9430; never-treated control cohort (the command takes no not-yet-treated option); dummy build timed
D_cohorts,10000,20,12,200000,did_multiplegt_dyn,13.5750,10,1,H=5; G_real=12; nevertreated=7.4%; cov=none; min=12.4860; max=18.0060
D_cohorts,10000,20,12,200000,xthdid,88.8700,10,1,H=5; G_real=12; nevertreated=7.4%; cov=none; min=83.0990; max=91.3840; agg=0.3175; Stata 19.5 native; arm=ra; vce(cluster) as in every column; cohort derived by the command
